n_estimators,max_depth,min_samples_split,max_features,accuracy,training_time
21,5,19,0.24706224438573557,0.874234835837507,0.1430056095123291
11,26,7,0.7283254554894042,0.89259877573734,0.14316678047180176
11,19,6,0.17824494936647456,0.9031719532554257,0.15091967582702637
21,18,2,0.6051205566447517,0.9070673344462993,0.18322491645812988
21,19,6,0.24706224438573557,0.9170840289371175,0.19108295440673828
53,10,19,0.17824494936647456,0.9220923761825265,0.26472043991088867
53,19,6,0.24706224438573557,0.9282136894824707,0.2836308479309082
53,19,9,0.24706224438573557,0.9287701725097385,0.2842888832092285
53,25,3,0.24706224438573557,0.9321090706733445,0.28518128395080566
53,10,7,0.17824494936647456,0.9343350027824151,0.28763437271118164
53,19,6,0.17824494936647456,0.9365609348914857,0.30107903480529785
